major,researchExp,industryExp,toeflScore,greV,greQ,greA,univName,cgpaNorm
(MIS / MSIM / MSIS / MSIT),0,66,94.0,146.0,157.0,3.0,Worcester Polytechnic Institute,0.7828
MIS,0,0,81.0,148.0,161.0,2.5,Worcester Polytechnic Institute,0.57
MIS,0,0,104.0,150.0,161.0,4.5,Worcester Polytechnic Institute,0.622
MIS-management related courses,0,0,95.0,147.0,156.0,3.0,Worcester Polytechnic Institute,0.52
MIS,0,0,101.0,152.0,158.0,3.0,Worcester Polytechnic Institute,0.64
Computer Science,0,0,107.0,156.0,163.0,4.5,Worcester Polytechnic Institute,0.7140000000000001
MIS,0,0,94.0,148.0,153.0,3.5,Worcester Polytechnic Institute,0.573
Computer Science,0,0,99.0,152.0,163.0,3.5,Worcester Polytechnic Institute,0.65
Computer Science,0,0,99.0,152.0,163.0,3.5,Worcester Polytechnic Institute,0.65
Computer Science,0,0,99.0,152.0,163.0,3.5,Worcester Polytechnic Institute,0.65
MIS,0,0,91.0,146.0,161.0,3.0,Worcester Polytechnic Institute,0.5484
(MIS / MSIM / MSIS / MSIT),0,39,101.0,149.0,159.0,3.0,Worcester Polytechnic Institute,0.765
Mechanical Engineering,0,0,96.0,161.0,154.0,3.0,Worcester Polytechnic Institute,0.705
MIS,0,24,98.0,143.0,159.0,3.0,Worcester Polytechnic Institute,0.55
Computer Science,0,0,111.0,156.0,159.0,3.5,Worcester Polytechnic Institute,0.7238
MIS-management related courses,0,0,94.0,159.0,156.0,3.0,Worcester Polytechnic Institute,0.6324000000000001
Electronics and Communication,0,0,99.0,143.0,162.0,3.5,Worcester Polytechnic Institute,0.874
MIS,0,0,105.0,149.0,156.0,3.5,Worcester Polytechnic Institute,0.64
Computer Science,0,36,109.0,152.0,163.0,3.5,Worcester Polytechnic Institute,0.652
Computer Science,0,0,107.0,162.0,163.0,3.0,Worcester Polytechnic Institute,0.7
MIS,0,0,101.0,149.0,160.0,3.0,Worcester Polytechnic Institute,0.72
Computer Science,0,0,115.0,160.0,160.0,4.0,Worcester Polytechnic Institute,0.79
Computer Science,0,0,95.0,152.0,163.0,3.0,Worcester Polytechnic Institute,0.62
MIS,0,26,93.0,145.0,160.0,3.0,Worcester Polytechnic Institute,0.759
Computer Science,0,0,103.0,152.0,160.0,3.0,Worcester Polytechnic Institute,0.8
MIS,0,0,103.0,146.0,155.0,3.0,Worcester Polytechnic Institute,0.58
Information Technology,0,0,96.0,140.0,156.0,2.0,Worcester Polytechnic Institute,0.91
Electrical Engineering,0,0,113.0,156.0,160.0,3.5,Worcester Polytechnic Institute,0.7813
Mechanical Engineering,0,0,108.0,158.0,167.0,4.5,Worcester Polytechnic Institute,0.869
MIS,0,0,98.0,145.0,159.0,3.0,Worcester Polytechnic Institute,0.64
MIS,0,0,101.0,148.0,163.0,4.0,Worcester Polytechnic Institute,0.53
Electrical Engineering,0,0,101.0,149.0,158.0,4.5,Worcester Polytechnic Institute,0.7227
Computer Engineering,0,0,99.0,150.0,151.0,4.0,Worcester Polytechnic Institute,0.63
Computer Science,0,0,103.0,156.0,159.0,4.0,Worcester Polytechnic Institute,0.675
MIS,0,0,94.0,154.0,156.0,3.0,Worcester Polytechnic Institute,0.54
MIS,0,0,106.0,160.0,157.0,3.5,Worcester Polytechnic Institute,0.625
MIS,0,48,109.0,156.0,157.0,3.0,Worcester Polytechnic Institute,0.56
MIS,0,43,108.0,150.0,157.0,3.0,Worcester Polytechnic Institute,0.78
Computer Science,0,15,112.0,152.0,162.0,4.5,Worcester Polytechnic Institute,0.785
MIS,0,0,106.0,149.0,157.0,4.0,Worcester Polytechnic Institute,0.685
Computer Science,0,0,106.0,163.0,164.0,3.0,Worcester Polytechnic Institute,0.58
Computer Engineering / Computer Networking / Computer Science,0,36,110.0,150.0,161.0,4.0,Worcester Polytechnic Institute,0.83
MIS,0,0,114.0,147.0,157.0,3.5,Worcester Polytechnic Institute,0.78
Mechanical Engineering,0,0,94.0,148.0,163.0,3.5,Worcester Polytechnic Institute,0.61
Computer Science,0,0,90.0,157.0,166.0,3.0,Worcester Polytechnic Institute,0.646
Telecommunication,0,0,95.0,143.0,161.0,3.0,Worcester Polytechnic Institute,0.615
MIS,0,0,89.0,145.0,162.0,3.0,Worcester Polytechnic Institute,0.61
MIS,0,0,112.0,152.0,160.0,3.5,Worcester Polytechnic Institute,0.65
MIS,0,20,106.0,155.0,153.0,3.5,Worcester Polytechnic Institute,0.692
MIS,0,0,109.0,144.0,160.0,3.0,Worcester Polytechnic Institute,0.7
MIS,0,0,84.0,142.0,159.0,3.0,Worcester Polytechnic Institute,0.65
Electrical Engineering,0,0,110.0,154.0,167.0,3.0,Worcester Polytechnic Institute,0.66
Mechanical Engineering,0,0,95.0,146.0,157.0,2.5,Worcester Polytechnic Institute,0.62
MIS,0,0,105.0,151.0,151.0,3.5,Worcester Polytechnic Institute,0.8300000000000001
MIS,0,0,84.0,149.0,166.0,4.0,Worcester Polytechnic Institute,0.76
Electrical Engineering,0,0,92.0,149.0,157.0,3.0,Worcester Polytechnic Institute,0.75
MIS,0,0,97.0,146.0,158.0,3.0,Worcester Polytechnic Institute,0.68
Electronics and Communication,0,0,108.0,157.0,170.0,4.0,Worcester Polytechnic Institute,0.597
Computer Science,0,0,102.0,148.0,157.0,3.0,Worcester Polytechnic Institute,0.58
Information Systems,0,0,112.0,162.0,151.0,4.0,Worcester Polytechnic Institute,0.57
Electronics and Communication,0,0,109.0,154.0,164.0,3.0,Worcester Polytechnic Institute,0.73
Mechanical Engineering,0,0,99.0,153.0,159.0,3.0,Wayne State University,0.72
Computer Science,0,0,76.0,134.0,152.0,3.0,Wayne State University,0.82
Industrial Engineering,0,12,112.0,151.0,164.0,3.5,Wayne State University,0.569
Industrial Engineering,0,0,99.0,150.0,151.0,3.0,Wayne State University,0.762
Computer Science,0,0,88.0,145.0,156.0,3.0,Wayne State University,0.825
Mechanical Engineering,0,0,88.0,154.0,164.0,3.0,Wayne State University,0.59
Industrial Engineering,0,0,110.0,153.0,157.0,3.5,Wayne State University,0.62
Industrial Engineering,0,0,91.0,149.0,165.0,3.5,Wayne State University,0.593
Industrial Engineering,0,9,79.0,142.0,153.0,3.5,Wayne State University,0.68
Computer Engineering / Computer Networking / Computer Science,0,0,107.0,154.0,161.0,5.0,Wayne State University,0.829
Industrial Engineering,0,0,80.0,145.0,152.0,2.5,Wayne State University,0.593
Electrical Engineering,0,0,89.0,143.0,158.0,2.5,Wayne State University,0.77
Electrical Engineering,0,0,112.0,151.0,167.0,3.5,Wayne State University,0.74
Industrial Engineering,0,0,95.0,138.0,152.0,3.0,Wayne State University,0.6799999999999999
Mechanical Engineering,0,3,98.0,145.0,161.0,3.0,Wayne State University,0.778
Mechanical Engineering,0,0,99.0,145.0,153.0,3.0,Wayne State University,0.76
Industrial Engineering,0,0,110.0,155.0,164.0,4.0,Wayne State University,0.645
Industrial Engineering,0,12,91.0,140.0,158.0,3.0,Wayne State University,0.8800000000000001
Industrial Engineering,0,0,103.0,158.0,153.0,3.5,Wayne State University,0.74
Electrical Engineering,0,0,102.0,148.0,159.0,3.5,Wayne State University,0.686
Mechanical Engineering,0,0,89.0,146.0,163.0,3.0,Wayne State University,0.64
Computer Science,0,0,99.0,146.0,157.0,3.0,Wayne State University,0.8029999999999999
Computer Science,0,0,93.0,149.0,159.0,3.5,Wayne State University,0.79
Industrial Engineering,0,0,84.0,138.0,162.0,3.0,Wayne State University,0.78
Industrial Engineering,15,13,95.0,143.0,157.0,3.5,Wayne State University,0.66
Computer Science,0,32,100.0,146.0,155.0,3.5,Wayne State University,0.65
Industrial Engineering,0,0,94.0,149.0,153.0,2.5,Wayne State University,0.629
Mechanical Engineering,0,33,86.0,143.0,148.0,2.5,Wayne State University,0.85
Mechanical Engineering,0,0,101.0,146.0,166.0,4.0,Wayne State University,0.624
Mechanical Engineering,0,0,95.0,149.0,164.0,3.5,Wayne State University,0.6
Mechanical Engineering,0,48,96.0,145.0,163.0,3.0,Wayne State University,0.6722
Mechanical Engineering,0,0,105.0,147.0,165.0,3.5,Wayne State University,0.689
Mechanical Engineering,0,0,79.0,140.0,155.0,2.5,Wayne State University,0.66
Computer Science,0,0,89.0,143.0,158.0,3.0,Wayne State University,0.7
Mechanical Engineering,0,0,81.0,139.0,158.0,3.0,Wayne State University,0.7
Mechanical Engineering,0,0,90.0,142.0,160.0,3.0,Wayne State University,0.68
Industrial Engineering,0,0,100.0,145.0,159.0,3.0,Wayne State University,0.78
Electrical and Computer Engineering,0,0,96.0,146.0,157.0,3.0,Wayne State University,0.75
Industrial Engineering,0,0,92.0,150.0,151.0,3.0,Wayne State University,0.693
Electrical and Computer Engineering,0,0,119.0,166.0,159.0,4.5,Wayne State University,0.73
Industrial Engineering,0,0,106.0,149.0,163.0,4.5,Wayne State University,0.58
Electrical Engineering,0,0,100.0,153.0,163.0,3.0,Wayne State University,0.5542
Electronics and Communication,0,0,104.0,150.0,161.0,3.0,Wayne State University,0.64
Electrical Engineering,0,0,93.0,139.0,156.0,3.0,Wayne State University,0.67
Industrial Engineering,0,0,102.0,144.0,157.0,3.0,Wayne State University,0.873
Electrical Engineering,0,0,84.0,146.0,156.0,3.0,Wayne State University,0.077
Computer Science,0,0,97.0,140.0,147.0,3.0,Wayne State University,0.6486
Electrical Engineering,0,0,88.0,140.0,159.0,3.0,Wayne State University,0.72
Mechanical Engineering,0,0,103.0,149.0,158.0,3.5,Wayne State University,0.775
Industrial Engineering,53,53,95.0,148.0,152.0,3.0,Wayne State University,0.748
Civil Engineering,0,0,93.0,151.0,151.0,3.5,Wayne State University,0.764
Mechanical Engineering,0,0,81.0,146.0,162.0,3.0,Wayne State University,0.69
Industrial Engineering,0,0,83.0,150.0,155.0,3.0,Wayne State University,0.56
Mechanical Engineering,0,12,100.0,149.0,161.0,3.0,Wayne State University,0.58
Industrial Engineering,0,0,107.0,149.0,160.0,3.0,Wayne State University,0.794
Industrial Engineering,0,0,90.0,142.0,154.0,3.5,Wayne State University,0.6779000000000001
Electrical Engineering,0,0,97.0,152.0,154.0,3.5,Wayne State University,0.58
Industrial Engineering,0,0,97.0,144.0,152.0,3.0,Wayne State University,0.758
Industrial Engineering,0,50,93.0,149.0,151.0,3.0,Wayne State University,0.64
Electrical Engineering,0,18,80.0,141.0,156.0,2.5,Wayne State University,0.76
Electrical Engineering,0,0,96.0,145.0,162.0,3.5,Wayne State University,0.62
Electrical Engineering,0,0,97.0,145.0,158.0,3.0,Wayne State University,0.77
Mechanical Engineering,0,0,83.0,143.0,159.0,3.0,Wayne State University,0.602
Mechanical Engineering,6,0,100.0,143.0,159.0,3.5,Wayne State University,0.72
Electronics and Communication,0,0,103.0,145.0,159.0,3.0,Wayne State University,0.68
Industrial Engineering,0,0,106.0,157.0,154.0,3.0,Wayne State University,0.57
Electrical Engineering,17,0,117.0,154.0,169.0,4.0,Wayne State University,0.82
Electrical Engineering,0,42,112.0,161.0,160.0,3.0,Wayne State University,0.5907
Mechanical Engineering,0,0,83.0,142.0,161.0,3.0,Wayne State University,0.745
Industrial Engineering,0,0,102.0,146.0,161.0,3.5,Wayne State University,0.604
Industrial Engineering,0,0,100.0,142.0,157.0,2.5,Wayne State University,0.6779000000000001
Mechanical Engineering,0,0,105.0,146.0,160.0,3.5,Wayne State University,0.7
Mechanical Engineering,0,0,84.0,146.0,155.0,2.5,Wayne State University,0.8240000000000001
MIS-management related courses,0,0,100.0,143.0,163.0,3.0,Wayne State University,0.65
Biomedical Engineering,0,0,110.0,158.0,154.0,3.0,Wayne State University,0.77
Biomedical Engineering,0,0,96.0,139.0,156.0,2.5,Wayne State University,0.8160000000000001
Electrical Engineering,0,0,88.0,145.0,151.0,2.5,Wayne State University,0.62
Electrical Engineering,0,0,84.0,146.0,147.0,3.0,Wayne State University,0.6679999999999999
Industrial Engineering,0,0,82.0,145.0,159.0,3.0,Wayne State University,0.53
Mechanical Engineering,0,0,94.0,147.0,158.0,3.5,Wayne State University,0.56
Mechanical Engineering,0,0,97.0,144.0,160.0,3.5,Wayne State University,0.665
Civil Engineering,0,0,87.0,146.0,161.0,3.0,Wayne State University,0.836
Mechanical Engineering,0,0,83.0,144.0,153.0,3.0,Wayne State University,0.65
Mechanical Engineering,0,0,98.0,154.0,161.0,3.5,Wayne State University,0.5835
Mechanical Engineering,0,32,91.0,142.0,162.0,3.0,Wayne State University,0.687
Mechanical Engineering,0,0,83.0,144.0,156.0,2.5,Wayne State University,0.65
Computer Science,0,0,85.0,146.0,150.0,3.0,Wayne State University,0.65
Mechanical Engineering,0,0,92.0,156.0,152.0,3.0,Wayne State University,0.66
Industrial Engineering,0,0,84.0,147.0,150.0,2.5,Wayne State University,0.7909999999999999
Mechanical Engineering,0,0,97.0,149.0,161.0,3.0,Wayne State University,0.6799999999999999
Aerospace Engineering,0,0,87.0,150.0,159.0,2.5,Wayne State University,0.65
Industrial Engineering,0,0,102.0,149.0,155.0,3.0,Wayne State University,0.53
Industrial Engineering,0,24,113.0,159.0,170.0,4.0,Virginia Polytechnic Institute and State University,0.77
Electrical & Computer Engineering,0,0,102.0,150.0,167.0,3.0,Virginia Polytechnic Institute and State University,0.8029999999999999
Computer Engineering,0,0,113.0,154.0,166.0,4.0,Virginia Polytechnic Institute and State University,0.61
Electrical Engineering,12,24,111.0,158.0,170.0,4.5,Virginia Polytechnic Institute and State University,0.9119999999999999
Civil Engineering,0,0,111.0,165.0,164.0,4.0,Virginia Polytechnic Institute and State University,0.6
Industrial Engineering,0,0,111.0,152.0,161.0,4.0,Virginia Polytechnic Institute and State University,0.9099999999999999
Electrical Engineering,0,27,105.0,154.0,165.0,3.5,Virginia Polytechnic Institute and State University,0.701
Mechanical Engineering,4,22,116.0,152.0,167.0,4.0,Virginia Polytechnic Institute and State University,0.9470000000000001
Electrical Engineering,0,0,116.0,158.0,170.0,4.0,Virginia Polytechnic Institute and State University,0.852
Civil Engineering,0,0,117.0,158.0,170.0,4.5,Virginia Polytechnic Institute and State University,0.9269999999999999
Electronics and Communication,0,0,105.0,167.0,168.0,4.0,Virginia Polytechnic Institute and State University,0.713
Civil Engineering,0,0,109.0,154.0,162.0,3.5,Virginia Polytechnic Institute and State University,0.8699999999999999
Electronics and Communication,0,0,117.0,160.0,162.0,4.0,Virginia Polytechnic Institute and State University,0.9099999999999999
Computer Science,0,0,101.0,163.0,164.0,3.5,Virginia Polytechnic Institute and State University,0.875
Computer Science,0,0,112.0,156.0,163.0,4.0,Virginia Polytechnic Institute and State University,0.745
Electronics and Communication,0,0,112.0,154.0,166.0,4.5,Virginia Polytechnic Institute and State University,0.75
Electrical and Computer Engineering,0,0,103.0,168.0,166.0,4.0,Virginia Polytechnic Institute and State University,0.882
Civil Engineering,0,0,112.0,152.0,165.0,4.5,Virginia Polytechnic Institute and State University,0.748
Civil Engineering,7,0,114.0,163.0,166.0,4.5,Virginia Polytechnic Institute and State University,0.8949999999999999
Electronics and Communication,0,0,114.0,168.0,166.0,4.0,Virginia Polytechnic Institute and State University,0.8
Industrial Engineering,0,0,108.0,161.0,167.0,4.0,Virginia Polytechnic Institute and State University,0.8089999999999999
Electrical Engineering,0,0,115.0,161.0,170.0,4.5,Virginia Polytechnic Institute and State University,0.8039999999999999
Mechanical Engineering,0,0,117.0,168.0,166.0,4.5,Virginia Polytechnic Institute and State University,0.7822
Computer Engineering,0,0,111.0,162.0,168.0,3.0,Virginia Polytechnic Institute and State University,0.772
Electrical Engineering,0,0,110.0,160.0,170.0,4.0,Virginia Polytechnic Institute and State University,0.8513999999999999
Mechanical Engineering,9,18,108.0,156.0,163.0,3.0,Virginia Polytechnic Institute and State University,0.7
Civil Engineering,0,0,102.0,150.0,165.0,3.0,Virginia Polytechnic Institute and State University,0.808
Mechanical Engineering,0,0,111.0,148.0,167.0,4.0,Virginia Polytechnic Institute and State University,0.8939999999999999
Electrical Engineering,0,0,117.0,157.0,166.0,5.5,Virginia Polytechnic Institute and State University,0.79
Industrial Engineering,0,0,107.0,165.0,167.0,4.0,Virginia Polytechnic Institute and State University,0.754
Industrial Engineering,0,0,112.0,158.0,168.0,5.0,Virginia Polytechnic Institute and State University,0.9
Computer Science,0,44,107.0,152.0,170.0,3.5,Virginia Polytechnic Institute and State University,0.85
Industrial Engineering,0,0,114.0,162.0,166.0,5.0,Virginia Polytechnic Institute and State University,0.788
Computer Engineering,0,0,112.0,158.0,166.0,3.0,Virginia Polytechnic Institute and State University,0.776
Mechanical Engineering,0,0,110.0,151.0,164.0,4.0,Virginia Polytechnic Institute and State University,0.9339999999999999
Computer Engineering,0,0,102.0,154.0,164.0,3.5,Virginia Polytechnic Institute and State University,0.6900000000000001
Industrial Engineering,0,0,101.0,152.0,163.0,3.5,Virginia Polytechnic Institute and State University,0.852
Civil Engineering,0,0,113.0,146.0,166.0,3.0,Virginia Polytechnic Institute and State University,0.37
Computer Engineering,0,0,112.0,162.0,166.0,3.5,Virginia Polytechnic Institute and State University,0.795
Computer Science,0,0,110.0,153.0,160.0,4.0,Virginia Polytechnic Institute and State University,0.8960000000000001
Mechanical Engineering,0,0,115.0,155.0,164.0,4.5,Virginia Polytechnic Institute and State University,0.8300000000000001
Industrial Engineering,0,0,106.0,153.0,166.0,4.5,Virginia Polytechnic Institute and State University,0.8009999999999999
Electrical Engineering,0,24,103.0,156.0,166.0,3.5,Virginia Polytechnic Institute and State University,0.78
Civil Engineering,0,0,100.0,150.0,160.0,4.0,Virginia Polytechnic Institute and State University,0.794
Industrial Engineering,0,0,105.0,146.0,166.0,4.0,Virginia Polytechnic Institute and State University,0.9199999999999999
Industrial Engineering,6,14,104.0,158.0,164.0,3.5,Virginia Polytechnic Institute and State University,0.9179999999999999
Electrical Engineering,0,0,97.0,154.0,160.0,3.0,Virginia Polytechnic Institute and State University,0.9925
Civil Engineering,0,0,109.0,155.0,170.0,3.5,Virginia Polytechnic Institute and State University,0.8
Computer Engineering,10,16,116.0,167.0,166.0,4.0,Virginia Polytechnic Institute and State University,0.585
Computer Engineering,0,0,114.0,161.0,166.0,4.5,Virginia Polytechnic Institute and State University,0.8
Industrial Engineering,0,0,110.0,159.0,166.0,4.0,Virginia Polytechnic Institute and State University,0.89
Computer Engineering,0,0,101.0,152.0,161.0,3.5,Virginia Polytechnic Institute and State University,0.8460000000000001
Civil Engineering,0,0,117.0,161.0,166.0,3.5,Virginia Polytechnic Institute and State University,0.8960000000000001
Computer Science,0,0,114.0,166.0,166.0,4.0,Virginia Polytechnic Institute and State University,0.816
Civil Engineering,0,0,113.0,157.0,164.0,5.0,Virginia Polytechnic Institute and State University,0.8230000000000001
Electrical & Computer Engineering,0,22,101.0,153.0,162.0,4.0,Virginia Polytechnic Institute and State University,0.959
Industrial Engineering,15,0,118.0,155.0,168.0,4.0,Virginia Polytechnic Institute and State University,0.7030000000000001
Computer Engineering,0,0,108.0,159.0,162.0,3.5,Virginia Polytechnic Institute and State University,0.9400000000000001
Computer Engineering,2,34,113.0,154.0,163.0,4.0,Virginia Polytechnic Institute and State University,0.9
Electrical Engineering,0,0,114.0,157.0,164.0,4.0,Virginia Polytechnic Institute and State University,0.795
Electrical Engineering,30,0,114.0,156.0,168.0,5.0,Virginia Polytechnic Institute and State University,0.7896
Computer Science,0,0,107.0,156.0,166.0,3.5,Virginia Polytechnic Institute and State University,0.0874
Electronics and Communication,0,0,112.0,170.0,166.0,4.0,Virginia Polytechnic Institute and State University,0.8470000000000001
Industrial Engineering,0,0,111.0,157.0,164.0,3.5,Virginia Polytechnic Institute and State University,0.8960000000000001
Civil Engineering,0,0,116.0,161.0,160.0,3.0,Virginia Polytechnic Institute and State University,0.86
Electronics and Communication,0,0,110.0,156.0,166.0,3.5,Virginia Polytechnic Institute and State University,0.83
Electrical Engineering,0,0,115.0,164.0,166.0,4.0,Virginia Polytechnic Institute and State University,0.8400000000000001
Mechanical Engineering,0,0,107.0,158.0,161.0,3.0,Virginia Polytechnic Institute and State University,0.932
Electrical and Computer Engineering,0,0,108.0,162.0,166.0,4.0,Virginia Polytechnic Institute and State University,0.79
Computer Science,0,0,109.0,154.0,164.0,3.0,Virginia Polytechnic Institute and State University,0.8400000000000001
Electrical Engineering,0,0,116.0,167.0,170.0,4.0,Virginia Polytechnic Institute and State University,0.9470000000000001
Electronics and Communication,0,0,117.0,164.0,166.0,3.5,Virginia Polytechnic Institute and State University,0.925
Computer Engineering,0,0,111.0,157.0,163.0,3.0,Virginia Polytechnic Institute and State University,0.752
Computer Engineering,0,0,120.0,165.0,169.0,3.5,Virginia Polytechnic Institute and State University,0.819
Computer Science,0,0,100.0,148.0,161.0,3.0,Virginia Polytechnic Institute and State University,0.85
Computer Science,0,7,114.0,166.0,170.0,3.5,Virginia Polytechnic Institute and State University,0.67
Computer Science,0,0,109.0,155.0,166.0,4.0,Virginia Polytechnic Institute and State University,0.79
Mechanical Engineering,0,0,114.0,157.0,166.0,4.0,Virginia Polytechnic Institute and State University,0.9269999999999999
Computer Science,0,0,114.0,156.0,166.0,4.5,Virginia Polytechnic Institute and State University,0.8865000000000001
Electrical Engineering,0,0,105.0,150.0,163.0,3.5,Virginia Polytechnic Institute and State University,0.8388
Computer Science,0,0,113.0,164.0,170.0,3.5,Virginia Polytechnic Institute and State University,0.773
Computer Science,0,0,110.0,161.0,166.0,4.0,Virginia Polytechnic Institute and State University,0.899
Industrial Engineering,0,0,110.0,150.0,167.0,3.5,Virginia Polytechnic Institute and State University,0.083
Civil Engineering,10,0,112.0,155.0,170.0,5.0,Virginia Polytechnic Institute and State University,0.922
Electronics and Communication,0,0,117.0,160.0,166.0,3.5,Virginia Polytechnic Institute and State University,0.8472
Industrial Engineering,0,0,113.0,158.0,166.0,4.5,Virginia Polytechnic Institute and State University,0.8029999999999999
Electrical Engineering,0,30,104.0,155.0,165.0,3.5,Virginia Polytechnic Institute and State University,0.71
Industrial Engineering,0,0,105.0,158.0,161.0,3.5,Virginia Polytechnic Institute and State University,0.68
Computer Engineering,0,0,105.0,158.0,166.0,3.0,Virginia Polytechnic Institute and State University,0.843
Mechanical Engineering,0,0,108.0,155.0,166.0,4.0,Virginia Polytechnic Institute and State University,0.8960000000000001
Electrical and computer science,0,0,116.0,168.0,166.0,4.5,Virginia Polytechnic Institute and State University,0.97
Industrial Engineering,0,0,112.0,154.0,168.0,4.0,Virginia Polytechnic Institute and State University,0.9199999999999999
Electrical and Computer Engineering,0,0,109.0,162.0,165.0,3.0,Virginia Polytechnic Institute and State University,0.7110000000000001
Civil Engineering,0,17,108.0,149.0,157.0,4.0,Virginia Polytechnic Institute and State University,0.795
Civil Engineering,1,0,107.0,151.0,161.0,4.0,Virginia Polytechnic Institute and State University,0.9349999999999999
Electronics and Communication,0,0,97.0,155.0,166.0,3.5,Virginia Polytechnic Institute and State University,0.9400000000000001
Computer Science,0,0,103.0,164.0,164.0,3.0,Virginia Polytechnic Institute and State University,0.9029999999999999
Computer Engineering,0,0,98.0,159.0,160.0,3.0,Virginia Polytechnic Institute and State University,0.72
Computer Science,0,0,119.0,164.0,163.0,4.0,Virginia Polytechnic Institute and State University,0.8699999999999999
Electronics and Communication,0,0,117.0,170.0,159.0,3.5,Virginia Polytechnic Institute and State University,0.9560000000000001
Electronics and Communication,0,0,110.0,155.0,170.0,3.5,Virginia Polytechnic Institute and State University,0.9259999999999999
Industrial Engineering,0,0,115.0,163.0,166.0,4.0,Virginia Polytechnic Institute and State University,0.6515000000000001
Mechanical Engineering,0,0,103.0,155.0,161.0,3.5,Virginia Polytechnic Institute and State University,0.8278
Computer Engineering,0,0,105.0,147.0,166.0,3.5,Virginia Polytechnic Institute and State University,0.77
Computer Engineering,0,24,111.0,163.0,167.0,4.0,Virginia Polytechnic Institute and State University,0.083
Electrical Engineering,0,0,116.0,163.0,167.0,5.5,Virginia Polytechnic Institute and State University,0.881
Computer Science,0,0,100.0,158.0,164.0,3.5,Virginia Polytechnic Institute and State University,0.8470000000000001
Computer Science,0,0,115.0,156.0,166.0,3.5,Virginia Polytechnic Institute and State University,0.768
Civil Engineering,0,0,115.0,156.0,163.0,4.5,Virginia Polytechnic Institute and State University,0.8869999999999999
Computer Engineering,0,36,105.0,155.0,168.0,3.5,Virginia Polytechnic Institute and State University,0.8880000000000001
Computer Science,0,0,112.0,152.0,157.0,3.5,Virginia Polytechnic Institute and State University,0.93
Mechanical Engineering,0,0,117.0,165.0,166.0,6.0,Virginia Polytechnic Institute and State University,0.74
Industrial Engineering,0,0,109.0,157.0,168.0,3.0,Virginia Polytechnic Institute and State University,0.8949999999999999
Computer Engineering,0,0,116.0,162.0,170.0,4.5,Virginia Polytechnic Institute and State University,0.8800000000000001
Computer Science,0,0,114.0,166.0,161.0,4.0,Virginia Polytechnic Institute and State University,0.806
Mechanical Engineering,0,0,110.0,163.0,166.0,3.5,Virginia Polytechnic Institute and State University,0.73
Electronics and Communication,0,0,115.0,162.0,166.0,3.0,Virginia Polytechnic Institute and State University,0.835
Computer Science,0,0,108.0,161.0,165.0,3.5,Virginia Polytechnic Institute and State University,0.899
Industrial Engineering,0,27,107.0,155.0,161.0,4.0,Virginia Polytechnic Institute and State University,0.77
Mechanical Engineering,0,0,112.0,154.0,163.0,4.0,Virginia Polytechnic Institute and State University,0.77
Computer Science,0,0,112.0,162.0,166.0,4.0,Virginia Polytechnic Institute and State University,0.907
Computer Engineering,0,0,109.0,161.0,169.0,4.0,Virginia Polytechnic Institute and State University,0.9410000000000001
Civil Engineering,0,0,112.0,165.0,166.0,4.0,Virginia Polytechnic Institute and State University,0.6769999999999999
Mechanical Engineering,0,24,108.0,158.0,170.0,3.5,Virginia Polytechnic Institute and State University,0.716
Electrical Engineering,0,0,116.0,162.0,163.0,4.0,Virginia Polytechnic Institute and State University,0.07400000000000001
Industrial Engineering,0,46,113.0,162.0,168.0,4.0,Virginia Polytechnic Institute and State University,0.72
Electronics and Communication,0,0,109.0,154.0,160.0,3.5,Virginia Polytechnic Institute and State University,0.7704
Electrical Engineering,0,0,109.0,151.0,163.0,3.0,Virginia Polytechnic Institute and State University,0.8869999999999999
Electrical Engineering,0,0,95.0,158.0,163.0,3.5,Virginia Polytechnic Institute and State University,0.85
Electrical Engineering,0,0,105.0,155.0,165.0,4.0,Virginia Polytechnic Institute and State University,0.8230000000000001
Electrical Engineering,0,0,107.0,154.0,165.0,3.5,Virginia Polytechnic Institute and State University,0.65
Electrical & Computer Engineering,0,31,107.0,148.0,161.0,3.0,Virginia Polytechnic Institute and State University,0.8939999999999999
Computer Science,0,0,97.0,157.0,161.0,3.5,Virginia Polytechnic Institute and State University,0.874
Computer Science,0,0,91.0,155.0,160.0,3.0,Virginia Polytechnic Institute and State University,0.8109999999999999
Electrical & Computer Engineering,0,1,113.0,157.0,167.0,5.0,Virginia Polytechnic Institute and State University,0.865
Industrial Engineering,0,8,103.0,148.0,163.0,4.0,Virginia Polytechnic Institute and State University,0.65
Civil Engineering,0,0,95.0,148.0,162.0,3.5,Virginia Polytechnic Institute and State University,0.75
Computer Science,0,0,104.0,167.0,161.0,3.5,Virginia Polytechnic Institute and State University,0.81
Civil Engineering,0,16,104.0,149.0,159.0,3.0,Virginia Polytechnic Institute and State University,0.9099999999999999
Electrical Engineering,0,0,104.0,158.0,160.0,3.0,Virginia Polytechnic Institute and State University,0.747
Electrical Engineering,0,0,101.0,162.0,164.0,3.5,Virginia Polytechnic Institute and State University,0.72
Computer Engineering,0,0,111.0,151.0,163.0,4.5,Virginia Polytechnic Institute and State University,0.695
Computer Engineering,0,0,111.0,164.0,166.0,3.0,Virginia Polytechnic Institute and State University,0.8
Civil Engineering,0,0,111.0,152.0,158.0,3.0,Virginia Polytechnic Institute and State University,0.925
