name,tuition,rank,acceptance,website,location
Tennessee Technological University,"$17,081 (out-of-state), $8,700 (in-state)",266,67%,http://www.tntech.edu,"Cookeville, TN"
Texas A&M University--Commerce,"$21,198 (out-of-state), $8,748 (in-state)",267,46%,http://www.tamuc.edu/,"Commerce, TX"
Texas A&M University--Corpus Christi,"$26,061 (out-of-state), $9,308 (in-state)",268,65%,http://www.tamucc.edu,"Corpus Christi, TX"
Texas A&M University--Kingsville,"$20,912 (out-of-state), $8,462 (in-state)",269,82%,http://www.tamuk.edu,"Kingsville, TX"
Texas Southern University,"$21,623 (out-of-state), $9,173 (in-state)",270,51%,http://www.tsu.edu,"Houston, TX"
Texas State University,"$23,385 (out-of-state), $10,935 (in-state)",271,71%,http://www.txstate.edu,"San Marcos, TX"
Texas Woman's University,"$21,540 (out-of-state), $9,360 (in-state)",272,86%,http://www.twu.edu,"Denton, TX"
Trevecca Nazarene University,"$25,598",273,72%,https://www.trevecca.edu,"Nashville, TN"
Trinity International University,"$32,370",274,60%,http://www.tiu.edu,"Deerfield, IL"
University of Akron,"$17,750 (out-of-state), $11,463 (in-state)",275,96%,http://www.uakron.edu,"Akron, OH"
University of Alabama--Huntsville,"$21,504 (out-of-state), $10,313 (in-state)",276,76%,https://www.uah.edu/,"Huntsville, AL"
University of Arkansas--Little Rock,"$19,797 (out-of-state), $8,401 (in-state)",277,90%,http://ualr.edu/www/,"Little Rock, AR"
University of Louisiana--Lafayette,"$23,616 (out-of-state), $9,888 (in-state)",278,51%,http://www.louisiana.edu,"Lafayette, LA"
University of Louisiana--Monroe,"$20,570 (out-of-state), $8,470 (in-state)",279,76%,http://www.ulm.edu,"Monroe, LA"
University of Maryland--Eastern Shore,"$18,048 (out-of-state), $8,042 (in-state)",280,38%,http://www.umes.edu,"Princess Anne, MD"
University of Memphis,"$21,413 (out-of-state), $9,701 (in-state)",281,57%,http://www.memphis.edu,"Memphis, TN"
University of Missouri--Kansas City,"$25,999 (out-of-state), $9,734 (in-state)",282,62%,http://www.umkc.edu/,"Kansas City, MO"
University of Nebraska--Omaha,"$21,904 (out-of-state), $8,930 (in-state)",283,86%,http://www.unomaha.edu,"Omaha, NE"
University of Nevada--Las Vegas,"$21,774 (out-of-state), $7,308 (in-state)",284,83%,http://www.unlv.edu/,"Las Vegas, NV"
University of New Orleans,"$13,890 (out-of-state), $9,054 (in-state)",285,60%,http://www.uno.edu,"New Orleans, LA"
University of Northern Colorado,"$21,131 (out-of-state), $9,545 (in-state)",286,90%,http://www.unco.edu,"Greeley, CO"
University of North Texas,"$23,716 (out-of-state), $10,906 (in-state)",287,72%,http://www.unt.edu,"Denton, TX"
University of South Alabama,"$20,328 (out-of-state), $10,376 (in-state)",288,81%,http://www.southalabama.edu,"Mobile, AL"
University of Southern Mississippi,"$10,514 (out-of-state), $8,514 (in-state)",289,60%,http://www.usm.edu,"Hattiesburg, MS"
University of Texas--El Paso,"$21,396 (out-of-state), $7,651 (in-state)",290,100%,http://www.utep.edu,"El Paso, TX"
University of Texas--Rio Grande Valley,"$17,547 (out-of-state), $7,587 (in-state)",291,64%,http://www.utrgv.edu,"Edinburg, TX"
University of Texas--San Antonio,"$23,830 (out-of-state), $9,468 (in-state)",292,76%,http://www.utsa.edu/,"San Antonio, TX"
University of the Cumberlands,"$23,000",293,71%,http://www.ucumberlands.edu,"Williamsburg, KY"
University of Toledo,"$19,133 (out-of-state), $9,795 (in-state)",294,94%,http://www.utoledo.edu/,"Toledo, OH"
University of West Florida,"$18,628 (out-of-state), $6,360 (in-state)",295,41%,http://uwf.edu,"Pensacola, FL"
University of West Georgia,"$20,774 (out-of-state), $7,292 (in-state)",296,59%,http://www.westga.edu,"Carrollton, GA"
University of Wisconsin--Milwaukee,"$20,844 (out-of-state), $9,565 (in-state)",297,73%,http://uwm.edu,"Milwaukee, WI"
Valdosta State University,"$17,196 (out-of-state), $6,410 (in-state)",298,65%,http://www.valdosta.edu,"Valdosta, GA"
Wichita State University,"$17,452 (out-of-state), $8,271 (in-state)",299,86%,http://www.wichita.edu,"Wichita, KS"
Wilmington University,"$11,210",300,100%,http://www.wilmu.edu,"New Castle, DE"
