researchExp,industryExp,toeflScore,greV,greQ,greA,univName,cgpaNorm
0,0,94.0,149.0,153.0,2.5,Wayne State University,0.629
0,33,86.0,143.0,148.0,2.5,Wayne State University,0.85
0,0,101.0,146.0,166.0,4.0,Wayne State University,0.624
0,0,95.0,149.0,164.0,3.5,Wayne State University,0.6
0,48,96.0,145.0,163.0,3.0,Wayne State University,0.6722
0,0,105.0,147.0,165.0,3.5,Wayne State University,0.689
0,0,79.0,140.0,155.0,2.5,Wayne State University,0.66
0,0,89.0,143.0,158.0,3.0,Wayne State University,0.7
0,0,81.0,139.0,158.0,3.0,Wayne State University,0.7
0,0,90.0,142.0,160.0,3.0,Wayne State University,0.68
0,0,100.0,145.0,159.0,3.0,Wayne State University,0.78
0,0,96.0,146.0,157.0,3.0,Wayne State University,0.75
0,0,92.0,150.0,151.0,3.0,Wayne State University,0.693
0,0,119.0,166.0,159.0,4.5,Wayne State University,0.73
0,0,106.0,149.0,163.0,4.5,Wayne State University,0.58
0,0,100.0,153.0,163.0,3.0,Wayne State University,0.5542
0,0,104.0,150.0,161.0,3.0,Wayne State University,0.64
0,0,93.0,139.0,156.0,3.0,Wayne State University,0.67
0,0,102.0,144.0,157.0,3.0,Wayne State University,0.873
0,0,84.0,146.0,156.0,3.0,Wayne State University,0.077
0,0,97.0,140.0,147.0,3.0,Wayne State University,0.6486
0,0,88.0,140.0,159.0,3.0,Wayne State University,0.72
0,0,103.0,149.0,158.0,3.5,Wayne State University,0.775
53,53,95.0,148.0,152.0,3.0,Wayne State University,0.748
0,0,93.0,151.0,151.0,3.5,Wayne State University,0.764
0,0,81.0,146.0,162.0,3.0,Wayne State University,0.69
0,0,83.0,150.0,155.0,3.0,Wayne State University,0.56
0,12,100.0,149.0,161.0,3.0,Wayne State University,0.58
0,0,107.0,149.0,160.0,3.0,Wayne State University,0.794
0,0,90.0,142.0,154.0,3.5,Wayne State University,0.6779000000000001
0,0,97.0,152.0,154.0,3.5,Wayne State University,0.58
0,0,97.0,144.0,152.0,3.0,Wayne State University,0.758
0,50,93.0,149.0,151.0,3.0,Wayne State University,0.64
0,18,80.0,141.0,156.0,2.5,Wayne State University,0.76
0,0,96.0,145.0,162.0,3.5,Wayne State University,0.62
0,0,97.0,145.0,158.0,3.0,Wayne State University,0.77
0,0,83.0,143.0,159.0,3.0,Wayne State University,0.602
6,0,100.0,143.0,159.0,3.5,Wayne State University,0.72
0,0,103.0,145.0,159.0,3.0,Wayne State University,0.68
0,0,106.0,157.0,154.0,3.0,Wayne State University,0.57
17,0,117.0,154.0,169.0,4.0,Wayne State University,0.82
0,42,112.0,161.0,160.0,3.0,Wayne State University,0.5907
0,0,83.0,142.0,161.0,3.0,Wayne State University,0.745
0,0,102.0,146.0,161.0,3.5,Wayne State University,0.604
0,0,100.0,142.0,157.0,2.5,Wayne State University,0.6779000000000001
0,0,105.0,146.0,160.0,3.5,Wayne State University,0.7
0,0,84.0,146.0,155.0,2.5,Wayne State University,0.8240000000000001
0,0,100.0,143.0,163.0,3.0,Wayne State University,0.65
0,0,110.0,158.0,154.0,3.0,Wayne State University,0.77
0,0,96.0,139.0,156.0,2.5,Wayne State University,0.8160000000000001
0,0,88.0,145.0,151.0,2.5,Wayne State University,0.62
0,0,84.0,146.0,147.0,3.0,Wayne State University,0.6679999999999999
0,0,82.0,145.0,159.0,3.0,Wayne State University,0.53
0,0,94.0,147.0,158.0,3.5,Wayne State University,0.56
0,0,97.0,144.0,160.0,3.5,Wayne State University,0.665
0,0,87.0,146.0,161.0,3.0,Wayne State University,0.836
0,0,83.0,144.0,153.0,3.0,Wayne State University,0.65
0,0,98.0,154.0,161.0,3.5,Wayne State University,0.5835
0,32,91.0,142.0,162.0,3.0,Wayne State University,0.687
0,0,83.0,144.0,156.0,2.5,Wayne State University,0.65
0,0,85.0,146.0,150.0,3.0,Wayne State University,0.65
0,0,92.0,156.0,152.0,3.0,Wayne State University,0.66
0,0,84.0,147.0,150.0,2.5,Wayne State University,0.7909999999999999
0,0,97.0,149.0,161.0,3.0,Wayne State University,0.6799999999999999
0,0,87.0,150.0,159.0,2.5,Wayne State University,0.65
0,0,102.0,149.0,155.0,3.0,Wayne State University,0.53
0,24,113.0,159.0,170.0,4.0,Virginia Tech,0.77
0,0,102.0,150.0,167.0,3.0,Virginia Tech,0.8029999999999999
